id,name,constellation,region,originalFactionId,occupierFactionId,victoryPoints,victoryPointsThreshold,contestedPercent,derivedOperationalState,externalGateCount,normalizedBetweenness
30002807,Nagamanen,Isoma,The Citadel,500001,500004,40562,75000,54.082667,frontline,0,0.090696289
30045344,Nennamaila,Ishaga,Black Rise,500001,500004,27281,75000,36.374667,frontline,0,0.502468505
30002757,Nikkishina,Ieyama,The Citadel,500001,500001,0,75000,0.0,rearguard,0,0.02247191
30045352,Nisuwa,Okakuola,Black Rise,500001,500001,50,75000,0.066667,rearguard,0,0.064649302
30045348,Notoras,Okakuola,Black Rise,500001,500001,325,75000,0.433333,rearguard,0,0.0
30003857,Odamia,Serthoulde,Placid,500004,500001,0,75000,0.0,frontline,0,0.146578141
30003838,Oicx,Amevync,Placid,500004,500001,303,75000,0.404,command,0,0.148152877
30045347,Oinasiken,Okakuola,Black Rise,500001,500001,3601,75000,4.801333,command,0,0.268939394
30045307,Okagaiken,Urpiken,Black Rise,500001,500001,2704,75000,3.605333,rearguard,1,0.000510725
30045330,Okkamon,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.235955056
30005000,Old Man Star,Vieres,Essence,500004,500004,0,75000,0.0,command,1,0.044433095
30002811,Onatoh,Isoma,The Citadel,500001,500004,8836,75000,11.781333,command,0,0.02247191
30002808,Oto,Isoma,The Citadel,500001,500004,1785,75000,2.38,command,0,0.0
30005297,Ouelletta,Woenckee,Verge Vendor,500004,500004,625,75000,0.833333,rearguard,1,0.02247191
30045320,Pavanakka,Inolari,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.118445693
30045333,Prism,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.000127681
30045353,Pynekastoh,Okakuola,Black Rise,500001,500001,773,75000,1.030667,command,0,0.543752128
30045315,Raihbaka,Inolari,Black Rise,500001,500001,0,75000,0.0,rearguard,1,0.000127681
30045349,Rakapas,Okakuola,Black Rise,500001,500001,175,75000,0.233333,rearguard,0,0.204204971
30045354,Reitsato,Okakuola,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.258512087
30003829,Renarelle,Pegeler,Placid,500004,500001,8402,75000,11.202667,frontline,0,0.08695097
30003851,Reschard,Serthoulde,Placid,500004,500001,239,75000,0.318667,frontline,0,0.06639428
30045310,Sarenemi,Urpiken,Black Rise,500001,500001,0,75000,0.0,rearguard,1,0.0
30002809,Sujarento,Isoma,The Citadel,500001,500004,0,75000,0.0,frontline,0,0.141258086
30002813,Tama,Isoma,The Citadel,500001,500001,6278,75000,8.370667,frontline,1,0.139087504
30002812,Tannolen,Isoma,The Citadel,500001,500004,1884,75000,2.512,rearguard,1,0.0
30045350,Teimo,Okakuola,Black Rise,500001,500001,69,75000,0.092,rearguard,0,0.0
30045335,Teskanen,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.0
30002759,Uuna,Ieyama,The Citadel,500001,500001,0,75000,0.0,rearguard,0,0.065883555
30045331,Vaaralen,Kurala,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.02247191
30004997,Vifrevaert,Vieres,Essence,500004,500004,15,75000,0.02,rearguard,1,0.0
30045309,Villasen,Urpiken,Black Rise,500001,500001,0,75000,0.0,rearguard,0,0.065372829
30003836,Vlillirier,Amevync,Placid,500004,500001,0,75000,0.0,frontline,0,0.26664113
